Category,Text
1,any opening jobs in casino? like jewelry appraiser?
3,what does it mean to “slip the skin” ? like bruce springsteen in song streets of philadelphia says:i walked a thousand miles &#xa;just to slip this skin
1,whats you favorite chore? mine is relaxing and cleaning my room and watch my sister get in trouble
3,what are the saddest and happiest songs you have ever heard? i'll go first. feel free to post as many as you like.&#xa;&#xa;happiest:&#xa;sophie b. hawkins -- as i lay me down&#xa;&#xa;saddest:&#xa;pearl jam -- garden&#xa;stone temple pilots -- creep&#xa;&#xa;btw: i listen to a variety of music
6,how do you make acne go away? haha
2,structural framework of internet?
2,where can i download a sond card for free which allows me to play songs in window media player?
4,steve wilson of columbus indiana what is up with him
3,what is the real father quote uttered by darth vader in the empire strikes back? dv: obi wan never told you about your father.&#xa;luke: he told me enough.  he told me you killed him.&#xa;dv: [quote?]
5,what's better study in your country or in some other one where u not belong to ? first i've been accepted in my country university in some colege that i do'nt like very mutch
5,is there a word for someone who holds a bachelor's degree?  -something like baccalaureaut?
7,in homolytic fission a covalent bond breaks and each atom gets an electron from the bonded pair? then why are the free radicals thus formed neutral
4,is it right to let one in laws opinion break a family apart at the seams? my brothers wife is a total nut case. i thought she was my very best friend but she has turned and turned on me so many times that now it has come down to harrassment. it has broken my family apart. all my mother wanted for christmas was for all of us to be together at the same time but my sister-in-law ruined that. we didnt have thanksgiving together because of her. my mother has always been partial to my brother and puts up with his wife because of him
5,which words end in 'gry'? think of words ending in -gry. angry and hungry are two of them. there are only three words in the english language. what is the third word? the word is something that everyone uses every day. if you have listened carefully
2,why the delay when i right click on a file in windows explorer?
7,does it snow where you live?
1,how do we find other peoples emails?
1,does mpsims have meaning to anyone else around here? there seems to be some people who might know where that comes from.&#xa;&#xa;*whistles innocently*
1,what asset classes increase in value with rising interest rates? are there any asset classes that increase in value with an increase in interest rates?  i am not looking for asset classes that are simply a hedge to inflation.
2,why do we have social security numbers?
1,what day was april 18 1972? what day was april 18 1972
1,what major historical event forced joseph and mary to make the journey to bethlehem?
1,what does it mean when the american flag is lowered on the pole?
6,the best way to keep our mind positive all times?
2,looking for information on satilaite for my computer.?
2,what is networking?
2,favorite podcatcher? what service do you use for your podcasts?&#xa;&#xa;itunes
1,are masons satanic?
2,b&amp;w photos via the internet: are there any sites doing this? as far as i can tell
1,how much to mail a 5x7 christmas card? i ordered some christmas cards and got the bigger 5x7 size.  i was wondering if postage will be more or if it will still be the regular 37 cent stamp will work?
4,is it ever to late to save your marriage even though you have a rocky past? she says she can't see us together in the future because we have split up twice and no marriage that is meant to be should split up twice within 5 years that is saying that we are not meant to be
3,who is tyson ritter from the band  all american rejects dating?
2,what is page rank?
2,what is trillian and what is the web address?
7,why is the sky blue?
1,how much should  you tip a barber for a haircut?
2,how much does movitv cost for cingular wireless customers?
1,i would like to know the name of the website to trace a parcel sent to the united states by post.?
1,is hillary going to run for president in 2008?
3,who will win if the silver surfer &amp; superman ever meet one on one? try being imaginative
3,what do you think about the chronicles of narnia movie?
2,what is the difference between dvd+r and dvd-r ?
1,there are many ways to cook potatoes... but which way is the best?
1,i was wondering why most guys put girls down...put downs- what does it do for you males????????
4,what website can i go to to get spanish love letters converted to english so i can read them or if i write my?
1,do you find it a bit unnerving doctors call what they do practice?
1,what is the problem with the us auto industry? is it bad workmanship? is it bad business practice? are americans buuying less cars?
1,how much money should someone with bsc in biochemistry and biotechnology make? how much money should i make a year? typical salary?&#xa;&#xa;i have a full time job working in a technology company
7,after the higher studies in sweden is it possible to assure a job in europe?
4,guys what do you want for christmas?
2,how can we pass variables in php to other pages ?
4,my boyfriend played a mind game and now says he's sincere but i've caught him in lies. what should i tell him? how do i handle this as i don't want to talk to him anymore.
1,what are the factors of plant growth?
3,is anybody here addicted to yahoo! music videos? we all know you can create your own video station
4,do witches make the best lover?
2,i have a problem on my excel program the file sku011.cab not found and now i have not the cd how can i find th how i can find the file sku011.cab to repair my program
1,how do i create or edit an email signature?
3,what ever happen to the actor phillip michael thomas who played richardo tubbs in mini series miami vice? what is the best small dog to get and can be easily trained for a home.
1,should i buy or rent in california?
6,what's the best way to fight a cold?
5,how to apologize to your inferior if you were the general manager ? suppose you were the general manager in the big company.one of your employees is very busy with several projects.for the reason of working efficiency
3,what areit's christmas and i don't know where i am lyrics
4,if your boyfriend still talks to his highschool sweet heart
1,what is defined as a deception deliberatly practiced in order to secure unfair or unlawful gain? this question is in regard to the legalities of fire investigation.
6,can i die from anxiety problems?  what can i do to take all the anxiety problems out of my body forever?
2,does anyone know how to create a radio station on-line where i will be the server?? note : without paying anything!
4,is anybody else in an open relationship/mairrage?  what are your thoughts?  ever considered it? my wife and i have an open relationship and we love it.  that means that we both 'see' other people on the side when we want to and return to each other at the end of the day.  we do a lot of things together also
3,is akon a convect? has he been in a cell
7,can skin secrete a substance that bleaches materials such as towels?
1,what is the tradition behind kissing someone u like at the stroke of midnight for new year's? why is it done? is something special supposed to happen?
4,hey boys
1,do dogs go to heaven when they die?
6,is smoking 5 cigarettes a day ok?
4,where are the escorts in ks?
1,what was the best present you got for xmas this year? was it what you really wanted?
1,i want to become a professional motivational speaker. can anybody tell me the first steps? i also want to become a writer
1,could you tell me how i can get a web page through yahoo?
1,japanese has been documented to be the easiest language for an infant to learn true of false?
1,whats your crush's(boyfriend's/girlfriend's) name?
4,should i stay or should i go? i have been dating this guy for the past 3 months. we had a discussion a few days ago about what we want from each other. he doesnt feel like he is ready for a relationship because he has some things he wants to make better with himself. for example
5,how many sides on an eneagon?
3,whats hard
1,when sign makers go on strike
1,how can i clean a suede jacket?
1,is there any site seeing things within short walking distance from san fran airport?
2,how do i use rup(rational unified process) to plan my project?
7,in cubic meters how much greater is the volume of a cylinder with height 21m &amp; a radius 12m than the volume? of a square prism with height 21m and base 12m on a side?
2,how to i change my e-mail from outlook to yahoo on my computer.i have it
1,is michael jackson richer than oprah? yes or no
6,what is the difference between type 1 and type 2 diabetes?
1,why is yawning contagious?
3,what do the words redemption and revolution mean in terms of christianity? i heard them in a switchfoot song
2,what does this page cannot be displayed mean?
3,how could bethoven know that the symphony sounds good unless he is deaf?
1,how long is the great chinesse wall?
1,in planning what is an msa?
2,what is the cheapest/best way to display a gamecube video game system on a lcd computer screen? the computer monitor has a normal computer input.
4,how can i find someones email when i've lost all touch with them? no middle name. i know two towns they have lived in.
5,cold turkey? where and how did the term cold turkey originate? what was its original meaning?
4,why do people fall in love?
2,is there a free online course for programming for people who know nothing about it but want to learn?
4,stephanie in yahoo personals in crossville
1,how are a blonde and a turtle alike?
7,how to get rid of static electricity?
5,can i go to a school website? ps44
1,what state next to california has cheap rent?
3,what is the key signature for the d sharp scale?
4,why do some men be over protective?
4,how do i fined someone when i only know his name and state he is from?
6,how many miles can the average person walk in one day?
3,who is on the soundtrack to poolhall junkies?
2,what is so exciting about intel yonah?
2,what is seo?
3,who pays for those the more you know advertisements on tv?
1,i need to know how to get in touch with wabash leasing llc
1,how can one say all truth is relative when the statement that they are using is not relative? the opposite of relative truth is absolute truth.
4,i
2,while i oftern i loose the connection to my proxy server for internet? while the network is ok and proxy server too is working fine
7,are there any bones or specimens of dodo birds on display anywhere? is there a museum anywhere in the world that has parts from real dodo birds in its collection?
1,do you know how to kill vampires? explain in sentences please.
1,how many miles is 2
1,how to price a product and/or service and make a profit
2,why cant i veiw peoples cams?
7,r there intelligent life form other than us??? r we alone in this universe??
7,do you believe in intelligent design or something else? i read an article on intelligent design and am just curious to see what others have to say about it.
3,what movie or show is the line easy on the hardware from? i think it is said in a british accent but i could be wrong.
1,am i cool?
2,plz tell me why my yahoo-id is deactivated.? it's more painful coz with that id i reach level 2.plz tell me anyway to get it back
4,should i fully trust my boyfriend when he goes and get drunk
1,where can i find instructions/diagrams on how to install a car stereo?
3,who likes country music? i know i do!!!! tell if you do and why?  kk?
1,can ghosts hurt people?
2,how to upgrade windows movie maker?
1,if you could change one thing about yourself
2,i am trying to mount a dual boot(linux/windows)? i am trying to mount a dual boot(linux/windows)&#xa;dell laptop internal ide (ibm) 20 gig hard disk&#xa;on my dell precision desktop (wind2k) using a ide to usb cable.(sabrent).&#xa;&#xa;i can see my drive in the device manager under disk drives
3,is there going to be a next generation of the xbox 360 due to poor power hook-ups?
1,how do i find my sisters blog?
1,why do guys hurt girls but they say they love u and would do anything for you? they are just ass holes that dont no what they want untill they lose you so why is that why do guys have to hurt you and you are really in love with them can some one answer that for me.
5,what protects a developing bird in a shell? is the shell
3,if you hold it to tight it will fall out of your hand if you hold it to loosely you will break it. what is it?
2,computer laptop gets hot and turns off after having a 512mb ram upgrade? this is my first question on yahoo! answers.&#xa;&#xa;i have a one year old toshiba satellite p30 17 laptop
2,how does website like youtube make money or at least maintain itself financially? there seems to be no advertisement or payment made by user.
2,i keep getting kick off the internet by microsoft explorer why
1,how do you delete a old yahoo account?
4,how do i keep my mother out of my marriage? my mother lives with me (for the winter) and she is starting to get annoyed with the way my husband plays a lot. and it is starting to cause porblems what do i do?
5,whats the point of geometry?
6,what is my disease? low grade fever
1,what does ace stand for?
2,how to set up paltalk and port triggger with a linksys router? wrt54g ver4
2,what is the main cause why computer gets a virus?
4,is the devil sexier than the angel?
1,the irs said i had to pay a penalty. i filed a dispute. am i legally obligated to pay unless they follow up? the irs never wrote back once i filed the dispute. am i legally allowed not to pay?
6,i'am doing a project and i would like to know if cystic fibrosis is a genetic diseases?
4,what turns a fat lady on?
3,what does everybody think of the movie monty python and the quest for the holy grail? it is a hilarious movie. tell me what you think of it.
5,where do cashew nuts come from???
3,who look the best beyonce
1,why do people commit suicide?
5,who said this? capitalism is always in danger of inspiring men to be more concerned about making a living than living a life.
1,can a woman achieve an orgasm while sitting atop a running clothes dryer?
1,what is the meaning of life?
2,when i download a torrent none of players will play it. is there a player i can download that will work?
2,what is serialization in java?can anyone help me with an example?
2,can apple safari's implementation of ajax do post actions as well as get actions?
6,what should a guy do when a woman comes up to him and touch his thing?
7,what does the time dimension of a sphere look like? (or rather
6,what's the best calcium supplement nutritionally and price wise?
2,can you use a netgear hr314 router as a bridge? i have an actiontec dsl/wireless modem? as i have stated
2,can you suggest some examples of good internet etiquette? in the area of emails
1,what is the required skill 4 a finance job?
2,hp7600 set on 81/2x11 paper using 81/2 x11 paper. says paper is too large for setting.what is the problem?
2,can anyone explain what are entity
7,how much a recruiter make by placing a person on a job?
1,what do you get someone for christmas that has everything?
1,what is the best way to flip a property? i have never owned anything
4,why we make honeymoon?
6,how did aids start?
3,figure this one out? i'm not really more than holes tied to more holes; i'm strong as good steel
6,what is tamiflu?
3,why is lost such a popular tv show?
2,why does a laptop keep shutting down? laptop will shut down randomly
5,i would like to see the process of making gold chains in a teching method by a media like a demo file in net.? we are a company and are going to start our business in making gold chains
4,if a girl lives a thousand 
3,do you think they will totely get rid of vhs like they did 8 track tapes.?
5,what do you need to become a psychologist?
1,why the time machines &amp; watches always show time as 10 hrs &amp; 10 mins
1,who is more emotion girl or boy?
5,why is the middle finger considerd a bad finger?
5,can anyone send me some useful sites for english language teachers? they should include different kinds of language games
2,how do i change my password?
2,does upgrading to a larger hard drive increase cpu speed?
4,what is the best way to ask a woman out? (opinions welcome)?
1,what the best small bussiness to start? i am looking at a one room storefront location because the rent is cheap
6,what's the best sleeping aid?
1,what is the address or site of penguineindia books?
5,what is daylight savings time about? who invented it? i've always wondered why we in the us use daylight savings time
1,people are sending foul language in subject line of email how can i stop them from continuing?
1,do you play disny's toontown online?
1,what do u mean by vishwjeet?
2,the music note on my music folder in my documents is gone
4,have you tried online dating? did it work out?
5,who was queen margrete of denmark? i need to make a hat about her for my social studies class.?
1,where did the phrase rule of thumb come from?
1,why doesn't yahoo delete spam after 1 month
3,origin of zodiac sign?
5,what causes plastic bubble syndrome
1,seeking all filed or pending lawsuits for hurricane katrina vs. new orleans
5,i'm trying to find out when a blueberry is red?
6,what is the normal size penis?
7,what color is water really? obviously
1,what is a good entrance for the birthday girl @ her sweet 16? i was thinking of a fashion show like entrance for my sweet 16 but my friend
2,how do you erase subjects from your yahoo browser? how do you erase subjects from your yahoo browser?
1,i wanted to know if there is a website in teaching how to file in alphabetical order?
1,does anyone know how much aol is a month? swb is charging me 49.95 a  month for dsl.
1,i am going to apply for the position of assistant in an embassy. which format of cv shall i choose? i will change my career direction.i've searched the web for cv formats. i'm very confused. which format of cv will be useful for me?
7,where do 'hang nails' come from? one hour your nail look fine and then boom
7,most acids form ions in solution by ________
3,do you like the black eyed peas new song my hump?
4,how to convince people who are irresponsible?
6,why does the smell of cigarette smoke make me sick? i use to smoke but have not for 8 months now. when i am around anybody that smokes it seriously makes me sick. why now does it make me sick and not when i was smoking?
6,do the anti-viral soaps help fight germs at all?
2,how do cows have sex?
6,can u have a normal blood calcium level with the presence of parathyroid disease?
1,how can i get the money to open my own business with not so perfect  credit? i need 1500 to open two businesses that i will work together.  one is tarvel and the other is event consulting.  the cost  for the travel business is 400.oo while the cost for the event consulting is 1100.00 but
4,how do i no my ex isnt goin 2 lie 2 me anymore? i havent forgiven him yet but i want 2 . help!? he's lied to me before and i didnt forgive him. he says he was high and drunk whenever he did this but i dont believe him. i've known him for 8 years
6,what can you do for a clogged ear? what remedies can i do for a clogged ear?
1,trying to find a residential phone #
2,compare winamp
2,what are id3 tags?
2,regarding new y! mail? does new y! mail really exist ? or its just hype? has anybody got invites from yahoo? ur comments please
3,what is the first word in the second paragraph of the introductry text in star wars: a new hope?
2,when i click on my yahoo messenger icon
4,my girlfriend just told me that she was over everything
5,why does a 40+ computer support technician need to take pre-calculus? i major in information systems and have to take math classes. i am phobic when it comes to math
5,how many san joses (city/towns etc) are there in the world?
2,where can i sign an email address up for the most spam possible? i'm just trying to get back at all the spammers. spammers spamming spammers - interesting concept
3,red hot chilli peppers vs foo fighters? whom do you like more
1,how do  i deal with an anger disorser?
4,why is it so hard meeting nice looking guy off the website (i'm gay and trying to meet some exciting guys)
1,who leads china now?
1,who knows how i can get a loan for $42
3,trying to find a singer for a song? i don't have the title but one of the lines is 'the taste of bad whiskey and the sound of goodbye'? would like to know who sang it and what the title is...
1,how to drive in ice &amp; snow?
7,what bright planet is often mistaken for a ufo?
2,what will yahoo gain out of this site?
7,what do the following acronymns stand for 1.)p.s        2).c.c      3).b.c.c? the last two are with reference to letters
7,is it possible to go back in time in future?
2,why does my computer  turn istself off for no reason?
3,where can i find a cd by joan jett/blackhearts--i love rock n roll? on this cd joan jett does a version of the christsmas song the little drummer boy that is awesome.
1,what should i do to find a good job? every time i look for a job the employers ask me for referers but this is my first time i would work.
2,how many computers can i legally install windows xp professional on?
1,what is the best money making products to sell on ebay?
1,how can a child achive good marks
1,are you planning on making a new years resolution?  if so
7,how season ocurr?/what factors affecting them?
7,tell me ...? does post-katrina mold threatens health in new orleans ???
2,how can i create guestbook in my website ? i use html in dreamweaver?
1,hoiw does the equity in a home work
4,which are better
2,can the cd-rw drive in my laptop play dvd's? do i have to buy new hardware
5,how management utilized to acomplish a organisation objective?
3,years ago a movie that was about kids
1,gophers are messing  up my grass ! how do  i get rid of them mothers? can a mouse dig  in your yard and make raised tunnels?
3,does anyone remember an old japanese show with a hero called...goldar...i think.? haven't seen it since i was a kid in the 70's. don't remember a lot about it. sorry.
3,what's your favorite ...walk into a bar joke?
1,why are us blonds so stupid or at least condiderd stupid we dont know and are despratie for awnsers?
5,is there a word which can describe the excitement of being drunk? if there is the word describing this condition
4,what is it in a serious relationship that woman want from men?
5,in which sport are the shoes made entirely of metal? yup ! &#xa;all the participants wear metal shoes !
1,my sister hates me and i might move up to her grade
5,i need the book sign for singapore year 1990 isbn 9812041486. where can i get this book? thanks in advance!
4,how do you ask another woman is she is intrested in having sex with (me) the same sex without being rude?
1,any suggestions on how to stop procrastinating? it's a serious problem for me. i'm losing sleep.
7,what are the two moons of mars called?
4,kay if a guy pleases himself more in a week then his girlfriend in a month is there something wrong?
4,what is the love?
1,why are people from new jersey so loud?
7,how does a switch work? what does air have to do with a switch? ( need a scientific answer please )?
1,how do u say i love you in spanish?
1,how do i know if my friends are online when they are invisible? i would like to know if my friends are online when they are in the invisible mode.  am i allowed to know that?
1,if you weigh a train in a railway station where do you weigh a pie?
1,what's the basis for daylight savings time?
1,if all the nations in the world are in debt
3,has anybody seen i
6,how to improve on premature ejaculation?
3,is the office the greatest thing since sliced bread?
3,what is the best old school rap song ever created? must be 1994 and earlier?
1,if i got a 91 in english
1,how do i access yahoo messenger?  is it like instant messenger? i see this option on my phone but not on the computer
4,do you think it is safe to date someone online and then meet them in person? why or why not?
4,how can u say im sori to da guy dat u hurt so much..he doesnt even wana tok to u???!!!*tears*?
2,why am i getting so much spam (50)in my bulk mail slot?
3,anyone here listen to jason mraz? i think he is one of the best new artist out there (new as in he's only been on mainstream radio for a couple years). his new album
7,how abs works?
2,favorite easter egg?
2,what is better windows or linuix(also ease of use)?
3,how do i find information about meeting a celebrity that i like?
3,who was the first celebrity designer? today everybody knows dolce &amp; gabanna
1,i want to test someone for meth how long does it stay in the system?
1,how can i improve my english fastly? i am so sad because i can not speak english...i want to talk to my friends but they speak very well...sometime one guy talked to me but i can not understand what he said...i am so sad...i want to know how can i improve my  english fastly...i can not go to the english school after main school ...hic...so poor me...i need some help...can you help me?
2,what is the internet missing? with everything we can do on the internet
6,anyone in the medical field that may know menopause symptoms? i am 51 and in the process of the change.have been diagnosed. i use to be good at organizing anything that came along
1,when everything is going wrong today what do you do? everything i've done today gone wrong and i am pretty mad and in an pistoff mood so what do ya do when ya mad?
4,how do you know if you have found true love?
4,will a guy still have a relationship with you if you have sex on the first date? if you meet a guy like him talk to him a lot on the pphone and then after the fist date sleep with him will that change his opinion of you can you still have a relationship or will that ruin things
4,which  country  has  the  most  beautiful  women?
1,which pizza restaurant is the best?
3,who is the actress in the overstocked.com commercials?
5,how many words can you make from pineapple?
2,is there a digital photo face recognition service similar to riya.com? ryia.com is currently closed no new signups.  they do face recognition on your personal photos.
6,where can you get an hha for free if the insurance doesnt cover it? my mothers insurance denied her right to an hha.  we have no money to pay privately and she despirately needs it
1,what is the smell after death?
4,are there any women that like sex more than their mate?
6,i'm a women with gential warts
4,how would you know that he/she is the right one for you?
3,a simple riddle? what goes through a door but never goes in and never comes out?
7,pls tell me . about any web or liberary on net from i  get knowldge about making polymers or synthetic resin.?
3,does stairway to heaven really have secret messages? i got a backwards version once
4,why do girls cheat?
3,i am looking for a movie theater in the los angeles area that don't mind the sounds of crying babies.?
1,how to open a dance studio? i want to open my own dance studio.  i teach irish dance
1,why did the movement for womens rights experience so much difficulty in the years before 1860?
7,what is the best site for pharmacy student on the web??i want a free  one?
6,how good are the foam mattress? i can't afford the real tempurputic matresses that you see on tv. but how good are the foam mattresses that are sold on overstock.com? i was thinking of buying the 4 one. anyone have one of these?
2,how can i do simple line graphics
1,who created the bloods gang?
1,what is a meter multiplier
6,what does rsv stand for in medical terms?
2,what is web 2.0?
7,what is the airspeed velocity of a coconut laden swallow?
3,can anyone recommend any good movies out in the theater right now?
5,over hundreds of years
5,where did the phrase this too shall pass originate?
2,does anybody know what program allows you to use the satellite to discover another places? i already have google earth but i cannot see some places. do you know any other program? if so
7,what are best general purpose binoculars for astronomy?
7,how are materials exchanged through capillaries?
2,is yahoo going to close some accounts? i have just received the following message
3,is there a website that can provide me with a copy of the script of the movie the emperor's club?
1,what is the best 9 to 5 occupation attainable w/o a college degree?
4,are you for or againt gat marriage? are you for or against gay marriage? i know many feel it isnt appropiate or traditional. i am against gay marriage but i dont have a problem with people being gay. i myself am not gay
2,what are the factors that determine the hoursduring a telecoomunication network available?
2,how can i use finger sirvice with port 29?
5,how can a person get in touch with kevin trudeau of natural cures book?i've already tried the people search he is the auther of the natural cures book.
1,what website can i go to in order to freestyle? where people on the net battle it out.
2,what is the best free blogging software to use and install?
2,switch to mac? i've had to have my computer cleaned of viruses twice this year.  is mac the answer?
3,would anyone know the first single that usher released on the radio?
7,who created earth?
1,can you recomend me some web pages from graphic designer?
5,can you get financial aid if you have been convicted of a crime? my sister was in a big mess for a while but is turning a new leaf and wants to go to college can she still get financial aid?
1,how to become rich? help me with starting a small business.
1,do you know incruit?
2,how to configure vlan and routing on cisco 3550 scitch?
2,what is a good all in one machine that prints pictures at professional quality as well as copy scan and fax ? i want to print quality pictures with high resolution as well as copy scan and fax. i want a card slot that reads many different cards.
1,wondering where the town of hines
1,do you use yahoo answers to get information or for entertainment or both? just wondering.  looking over the questions and answers for the last couple of days
1,what is delegent mean?
7,do aliens exist? are they on this planet right now?
1,why are we becoming addicted to this site?
1,my 401k is 60% cash
4,why do husbands do whatever they want? i will think my husband and i agree on something then he does whatever he wants.
4,is their a possibility to put back ur honey?is he thinking of me too?
3,what is a pig after it is three days old? knowing your i.q.
2,which is the best dvd ripper software? that has xvid in it
4,fugitive fantom 
1,two ? about developing a sitcom. 1.how do i protect my idea before sharing it? 2.who do i go to with it? i am wondering if there is a simple way to protect and prove that i had a certain idea for a sitcom before i go to anyone with it.  i have heard of simple things like sending a document via certified mail to yourself to prove the date that the idea originated.  i also would like to know the best way to share the idea with a realistic chance of getting to a network (abc
7,how did they decide how many time zones there were going to be and where the lines to divide them would be?
5,is  short of nothing  a correct phrase of words ?
1,why is iceland green and greenland white?
1,do you ever dream in colors?
5,how did compromises in the 1850s fail to unite the united states?
1,my sn password is stolen 2 times this week what can i do? have had this sn for a few yrs and have almost 800 friends
2,how do i create my yahoo signature?
4,what are the signs that tell you should leave your relationship?
1,how many millionaries and billionaries? in the us
2,how so i install a second hard drive on my computer at?  how do i tell the computer which one my op is on?
7,is gas milage better in cold weather.does gas expand giving you more.?
3,who originally wrote the song atlantic city made famous by bruce springsteen?
3,what kind of movie can attract you?
1,why is beef jerky called beef jerky?
3,what band did a song that contained all in all we are just like you feild are green and skys are blue? it was a band that came out in the 90's
4,how can men hold their orgasms?
2,what is the best software to make sure our registry is clean? clean from unnecessary files that may slow the computer down or create other problems.&#xa;&#xa;for example
4,i really like this dude on here and i don't know if he likes me what should i do?
3,why is brittany spears getting divorced?
1,if you were stranded on an island for a year and could only take 3 things or people what would you bring? don't take this seriously or write stupid comments. its just for fun. i wana see what other people put. for me it would be my hair brush
4,do women really care about finding a nice guy? it seems to me that they want that good looking guy
5,what is an atom?
7,have you ever seen the movie event horizon??
4,why do men loose interest in girls once they have them?
2,how can you make a website? i would like to make a website
1,how many died in the civil war?
4,i found my boyfriend in bed with another girl so i dumped him
2,does anyone know of any decent whatever happened to type sites? i am looking for sites that are basically where are they now type sites for past tv or music stars that have faded away
4,what to get your boyfriend for christmas?
1,is it true that your personality is determine by your date and place of birth? is astrology true and does it play a huge role in your personality.
2,sbc offers different price rates for dsl.  what is the best if my son will be playing x box live? is there different speeds with different pricing?  with what we have now he's playing people that have cable dsl and he keeps getting booted off
1,who was the first terrorist in history?
4,what can a male do to be more affectionate?
4,should i break up with my boyfriend? if he refuses to give me oral sex
6,should i be concerned about a spontaneous bruise appearing on my foot after a few min. of very bad pain? twice within a few months
1,how can i get my title deed after i lost it? i bought some land on ebay
3,is eminem/ marshall bruse mathers goint to marry his ex wife kim??? eminem!!
2,how might i host a vpn in windows xp pro? can anyone suggest a 3rd party application for hosting &amp; configuring a virtual private network?&#xa;&#xa;i've not had any luck with the windows network setup wizard because of a missing service called routing and remote access.&#xa;&#xa;i'm unable to start this service with services.msc either. :(&#xa;&#xa;thanks
2,how would you help disable people learn computing?
4,how to tackle frustration? i am not prepared for exams. love girl to whom parents say no.
4,there's this older guy that i like...how do i get him to notice me? i'm not particularly pretty but i really like this man but i'm not sure he'll like me the same.  any advise on how the ugly duckling can capture the handsome frog's heart?
3,on the simpsons
5,what is the fastest way in which we can change the density (not the weight!) of our bodies?
7,what's the word for 'any cell in the body that is not a sperm or an egg'? doing some crossword puzzle. 9 letters
2,what is the best linux distribution? i intend 2 use linux as an alternative / learning os. i´d like 2 know which linux distribution is best suited 4 that. i'd like the most windows-like distribution
4,how do i stop myself from falling in love?
5,what is the best way to study?
1,how many licks does it take to get to the tootsie roll center of a tootsie roll pop?
4,do most women prefer a large male genitalia member? ladies
1,in any group of people
2,how to block spam in apple mail? i use apple mail (tiger) and i would like to know of any good apps that block spam?
4,whats the best way to break up with your girl friend?
4,i am 15 and i have no interest in anything except science.not even freinds and the world. am i weird? shoul i change myself or should is stay the same?
1,do space heaters really save money? instead of turning on the heat
4,if your current boyfriend refers to his ex a lot
1,my apt. management is demanding more money from me than i owe. can i take them to court 4free b4 they take me? i want to pay what we owe
6,why do people consider being self conscious a bad thing? it simply means to be aware of who you are.  is that so bad?
4,what is a proven successful strategy for a male in match.com? i mean
1,how can i do more in less time? could you help?
5,what's your favorite word in the spanish language?
1,does soda help stop stomach bloating ?why?
1,what feels the best?
3,what year did lynard skynard come out with who black betty?
4,what is a transexual?
5,what contents are in an official high school transcript? does it include records of attendence
1,my yahoo email no longer allows me to compose or send any email. need asst. asap. thanks?
1,can i make real money online? to many scams
1,has anyone found a job using a online job finder?
5,what is the best social problem to talk about in a 10th grade student essay?
6,what does increased normal of lymph nodes mean? my nephew has this and we are not sure what they are looking for.
4,why are ppl gay?
4,if someone asked this:how can i get my boyfriend to notice me? and you answered : try naked....is that vulgar? if someone asked this:how can i get my boyfriend to notice me? and you answered : try naked....is that vulgar? is the answer rude?
3,which type of manga do u prefer - shonen manga or shojo manga? shonen means guy's manga and shojo means girl's manga
5,what is titratable acidity
4,love and romance?
2,google answers or yahoo answers? what service do you prefer most?  &#xa;google answers or yahoo answers?
2,what is the best tutorial for adobe after effects?
1,do you support chinese characters here?
1,what's the difference between motivation and inspiration?
3,is the movie 'rent' that recently came out too mature for kids 12 and under? please dont just say its rated pg-13. wuts ur opinion?
4,how do u feel wen ur inlove?
4,i have been teasing this girl and she says she likes it but says that i am mean and wont let me go further ??? i need to know what 2 do
4,what is the best way to get your girlfriend to have a threesome?
4,why is rose red?
5,what year did the stock market crash? that caused the so called great depression
7,submerged geometric shapes near cuba? these were discovered in the summer of 2004 (i think that was when).  the finders thought they were probably buildings
2,when yahoo and msn talk to each other...which one will u use? and why? and give reason...if i can't decide the best answer i'll call a vote..and that's likely to happen
2,why did my font size change on all internet pages including yahoo?
2,why did yahoo start this question and answer site?
4,wat if ur inlove with a guy but afraid to tell him wat u feel..wat i'll do???
1,im looking for the title or artist that sings this song.? it starts as i cant believe i believed everything we had would last
2,what is the difference between blog and xanga?
2,i need help on how to put flash videos on ur page
1,what's the meaning or significance of a rainbow?
1,what's the best accounting program to buy for my small business?
6,what causes back and chest pain in teen? i'm a teen and experienced severe back and chest pain that seemed to move in location in response to physical movement.  it was extremely painful and hard to breath
1,have you ever listened to the dark side of the moon with wizard of oz?
1,how can i find the guy with sohamnikname in this site? i think i have the same opinions in many questions
2,i have 2 computers on a network
6,i need an energy boost...natural ingredients preferred...home remedies welcome? i'm 33 yrs old and i feel that my energy level is low.&#xa;i have 4 kids i should feel like one
6,how many people do you know that died from smoking ?(not side effects of smoking but from smoking)?
1,what is a kpod chicken? i do know that this chicken is a male chicken and i was toldthat it had testicles under their wings
5,what is the crime rate of mojave high school in las vegas nevada?
1,who has 600points?
5,in what ways does wildlife extinction impacts our world.?
1,where there american snipers in the 101st airborne during world war 2 ?
1,how do they keep dogs who detect drugs not addicted to drugs?
1,when a paid delinquency on your credit report reaches the end of it's five years
1,why do ppl ask about sex?
1,what did you get for christmas?
3,favorite songs by the beatles? list your 10 favorite songs by the beatles
7,application of matrices in economics?
2,why every time password field shows either solid big dot (.) or asterisk (*) why not other characters?
5,is there a loan company that will loan me money
1,will you help me find a picture of mayor adam west
4,how do i know if a guy likes me more than a friend? i met this guy and he is really kind and sweet. he gives me rides back to my house
1,who is the fatest person in the world? who
3,why do singers with accents dont sing with accents?
6,what are some medical reasons for not being able to fly?
